산업,기업 수,집계 대상 기업 수,고용 인원,평균 고용,1~9인,10~49인,50~299인,300인 이상,전월 대비 고용,전월 대비 %,전년 동월 대비 고용,전년 동월 대비 %,신규 등록 기업,폐업·탈퇴 기업,신규취득,상실
로봇,87,79,1257,15.9,43,31,5,0,,,,,,,,
자동차·부품,792,758,28218,37.2,310,311,125,12,,,,,,,,
의료·바이오,324,289,5630,19.5,170,96,20,3,,,,,,,,
소프트웨어·IT,148,123,3313,26.9,56,48,17,2,,,,,,,,
섬유·패션,1533,1440,23056,16.0,745,611,84,0,,,,,,,,
전기·전자,1185,1132,22440,19.8,744,319,60,9,,,,,,,,
화학·에너지,686,617,10885,17.6,410,185,19,3,,,,,,,,
식품,375,366,6467,17.7,201,140,23,2,,,,,,,,
기계·금속,3905,3746,55945,14.9,2540,1065,134,7,,,,,,,,
기타 제조,940,886,10715,12.1,592,259,35,0,,,,,,,,
기타 서비스,1199,598,9743,16.3,424,145,27,2,,,,,,,,
전체,11174,10034,177669,17.7,6235,3210,549,40,,,,,,,,

기준 2026-08 · 고용 인원 = 공장등록 신고값(팩토리온) · 집계 대상 = 고용 값이 있는 기업 · 빈칸 = 자료 없음
