# [["기계·금속", "기타 서비스", "기타 제조", "로봇", "미분류", "섬유·패션", "소프트웨어·IT", "식품", "의료·바이오", "자동차·부품", "전기·전자", "화학·에너지"], ["개별입지", "군위농공단지", "군위효령농공단지", "달성2차일반산업단지", "달성외국인투자지역", "달성일반산업단지", "대구경북경제자유구역수성의료지구", "대구경북첨단의료복합단지도시첨단산업단지", "대구구지농공단지", "대구국가산업단지", "대구금호워터폴리스일반산업단지", "대구연구개발특구", "대구염색일반산업단지", "대구옥포농공단지", "대구이시아폴리스일반산업단지", "대구인쇄출판밸리", "대구제3일반산업단지", "대구테크노폴리스일반산업단지", "북구검단일반산업단지", "산단 외", "서대구일반산업단지", "성서5차첨단산업단지", "성서지방산업단지"], ["군위군", "남구", "달서구", "달성군", "동구", "북구", "서구", "수성구", "중구"]]
c10289,0,0,3
c9033,0,0,3
c8862,0,0,3
c4306,10,0,5
c9070,9,0,3
c2664,0,0,5
c9592,0,0,3
c3097,0,0,5
c0620,10,0,6
c7375,0,0,2
c0896,7,0,6
c0276,5,0,4
c0263,5,0,4
c0161,5,0,4
c10059,10,0,3
c0001,10,0,8
c9594,10,0,3
c8960,2,0,3
c11145,11,0,0
c2665,9,0,5
c10060,0,0,3
c2666,5,0,5
c2592,10,0,1
c0075,10,0,8
c4307,9,0,5
c11146,5,0,0
c0176,8,0,4
c4308,2,0,5
c1857,0,0,6
c9494,3,0,3
c4434,10,0,5
c0541,8,0,4
c1858,2,0,6
c11166,7,0,0
c8048,0,0,2
c9928,5,0,3
c3114,11,0,5
c10177,5,0,3
c3115,0,0,5
c10061,10,0,3
c10163,7,0,3
c0542,10,0,4
c0403,0,0,4
c9599,0,0,3
c11032,5,0,0
c0626,2,0,6
c9051,0,0,3
c2947,10,0,5
c9071,2,0,3
c8590,0,0,2
c11101,11,0,0
c10221,2,0,3
c8591,7,0,2
c0628,0,0,6
c8905,10,0,3
c10304,0,0,3
c0516,10,0,4
c3120,0,0,5
c9512,10,0,3
c10355,5,0,3
c9999,10,0,3
c0631,0,0,6
c9513,0,0,3
c0256,0,0,4
c8961,0,0,3
c10203,2,0,3
c9495,0,0,3
c3125,10,0,5
c4536,11,0,5
c10033,0,0,3
c2667,8,0,5
c5111,10,0,5
c0517,8,0,4
c0380,5,0,4
c0566,5,0,6
c10305,0,0,3
c0633,11,0,6
c2608,2,0,1
c4288,5,0,5
c0070,2,0,8
c0848,5,0,6
c0039,5,0,8
c8838,5,0,3
c11147,7,0,0
c0352,0,0,4
c2669,0,0,5
c10193,2,0,3
c0543,8,0,4
c2609,0,0,1
c0316,2,0,4
c10222,0,0,3
c10306,10,0,3
c2610,8,0,1
c9606,0,0,3
c2673,8,0,5
c5142,2,0,5
c0849,10,0,6
c2948,9,0,5
c11078,7,0,0
c0635,5,0,6
c0491,11,0,4
c8906,9,0,3
c9608,5,0,3
c5258,10,0,7
c7857,2,0,2
c9514,0,0,3
c0636,5,0,6
c9072,11,0,3
c9073,11,0,3
c0638,8,0,6
c4309,10,0,5
c4310,0,0,5
c8963,5,0,3
c0639,0,0,6
c10353,2,0,3
c8919,0,0,3
c8817,0,0,3
c0353,2,0,4
c10164,2,0,3
c8964,0,0,3
c5303,5,0,2
c0331,10,0,4
c0332,10,0,4
c3140,8,0,5
c7859,0,0,2
c2576,10,0,6
c0544,8,0,4
c2674,10,0,5
c11080,5,0,0
c4311,0,0,5
c0518,11,0,4
c0640,0,0,6
c5222,10,0,7
c9918,7,0,3
c7421,7,0,2
c9515,10,0,3
c4312,0,0,5
c5143,10,0,5
c8863,7,0,3
c0519,2,0,4
c0643,2,0,6
c11081,7,0,0
c0002,10,0,8
c0645,7,0,6
c8864,2,0,3
c9074,0,0,3
c2611,2,0,1
c4313,10,0,5
c4314,10,0,5
c7379,5,0,2
c10165,0,0,3
c0646,5,0,6
c8567,0,0,2
c5181,7,0,5
c0003,10,0,8
c4315,7,0,5
c3145,0,0,5
c4316,0,0,5
c8966,5,0,3
c5159,10,0,5
c10000,0,0,3
c0144,2,0,8
c9075,0,0,3
c9929,0,0,3
c1891,9,0,6
c0180,10,0,4
c0308,11,0,4
c5238,11,0,7
c8865,11,0,3
c10223,2,0,3
c9516,0,0,3
c7152,10,0,2
c10224,2,0,3
c8595,10,0,2
c5235,10,0,7
c8818,0,0,3
c10307,0,0,3
c2593,10,0,1
c9919,11,0,3
c0381,5,0,4
c8866,2,0,3
c0382,10,0,4
c0244,8,0,4
c0333,10,0,4
c9621,10,0,3
c0647,0,0,6
c10210,11,0,3
c0057,8,0,8
c9076,0,0,3
c2949,8,0,5
c8568,10,0,2
c9622,0,0,3
c2678,0,0,5
c10275,2,0,3
c5098,7,0,5
c9077,0,0,3
c4578,10,0,5
c8802,10,0,3
c9517,2,0,3
c5241,8,0,7
c11148,11,0,0
c0545,8,0,4
c10062,10,0,3
c9078,11,0,3
c1065,3,0,6
c8920,2,0,3
c2640,7,0,5
c9079,2,0,3
c10034,0,0,3
c0652,10,0,6
c4435,10,0,5
c2984,11,0,5
c10225,0,0,3
c4317,2,0,5
c0653,0,0,6
c9080,2,0,3
c0554,8,0,4
c0492,11,0,4
c0521,8,0,4
c2950,0,0,5
c11122,2,0,0
c2985,0,0,5
c4318,10,0,5
c0317,7,0,4
c9168,10,0,3
c5134,0,0,5
c9169,10,0,3
c9518,11,0,3
c8819,0,0,3
c0318,10,0,4
c4319,10,0,5
c9626,0,0,3
c2612,8,0,1
c8569,8,0,2
c10175,9,0,3
c10063,2,0,3
c2594,8,0,1
c5206,5,0,7
c8921,0,0,3
c9081,5,0,3
c0004,2,0,8
c8820,0,0,3
c10226,0,0,3
c10565,10,0,3
c10293,10,0,3
c10001,0,0,3
c2613,5,0,1
c4320,0,0,5
c0071,2,0,8
c8673,10,0,2
c10064,5,0,3
c7381,0,0,2
c10204,2,0,3
c7867,5,0,2
c9628,2,0,3
c0555,10,0,4
c8570,0,0,2
c4321,11,0,5
c5147,7,0,5
c0414,7,0,4
c2986,0,0,5
c0319,0,0,4
c0289,11,0,4
c0415,7,0,4
c4322,2,0,5
c4323,0,0,5
c2680,0,0,5
c0659,5,0,6
c10065,11,0,3
c9835,2,0,3
c9519,9,0,3
c0145,5,0,8
c0097,2,0,8
c0563,0,0,4
c0098,2,0,8
c0099,2,0,8
c0100,2,0,8
c0661,7,0,6
c0494,0,0,4
c0354,0,0,4
c5149,10,0,5
c5191,2,0,7
c0101,2,0,8
c4436,10,0,5
c0208,10,0,4
c9082,0,0,3
c9496,0,0,3
c10276,2,0,3
c1930,0,0,6
c10166,10,0,3
c0662,0,0,6
c0022,2,0,8
c0102,10,0,8
c0061,5,0,8
c4616,10,0,5
c0290,10,0,4
c9052,0,0,3
c8969,0,0,3
c4324,11,0,5
c8839,5,0,3
c9920,0,0,3
c8922,2,0,3
c8840,0,0,3
c9083,7,0,3
c10227,2,0,3
c8970,5,0,3
c10066,9,0,3
c10228,2,0,3
c4325,10,0,5
c0664,0,0,6
c7168,0,0,2
c7383,9,0,2
c8923,0,0,3
c3178,0,0,5
c9633,0,0,3
c9084,0,0,3
c8924,11,0,3
c4326,10,0,5
c8571,5,0,2
c2614,5,0,1
c0320,0,0,4
c0495,10,0,4
c2641,0,0,5
c10178,2,0,3
c10308,0,0,3
c11015,7,0,0
c9085,11,0,3
c0383,0,0,4
c8971,2,0,3
c7873,10,0,2
c10002,0,0,3
c10067,0,0,3
c9086,2,0,3
c11149,5,0,0
c0384,7,0,4
c0667,7,0,5
c9087,0,0,3
c0567,5,0,6
c10309,2,0,3
c0547,8,0,4
c9635,10,0,3
c0334,0,0,4
c9636,0,0,3
c8907,11,0,3
c8687,10,0,2
c0321,7,0,4
c5144,10,0,5
c0523,2,0,4
c5140,7,0,5
c8867,10,0,3
c8972,10,0,3
c11150,7,0,0
c9088,11,0,3
c5112,10,0,5
c9839,2,0,3
c10068,2,0,3
c10194,5,0,3
c9217,0,0,3
c5262,10,0,7
c0291,0,0,4
c0292,10,0,4
c2615,0,0,1
c0355,0,0,4
c4327,10,0,5
c0293,0,0,4
c2684,8,0,5
c5223,10,0,7
c9640,10,0,3
c0335,10,0,4
c4328,0,0,5
