id,tag,source,as_of
c0750,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0751,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0793,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0808,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0823,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0824,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0826,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0836,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0838,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0917,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0923,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0936,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0948,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c0976,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10018,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10061,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10107,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c1011,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10135,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10138,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10139,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10142,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10150,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10151,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10153,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10155,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10275,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10292,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10342,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10424,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10430,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10444,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10452,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10458,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10461,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10464,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10472,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10473,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10476,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10477,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10479,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10481,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10490,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10494,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10509,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10523,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10525,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10540,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10551,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c1056,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c10563,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
