no,ministry,bureau,name,code,account,new_or_continue,support_type,subsidy_rate,executor,beneficiary,period,total_cost,budget_2025,budget_2026,cost_5y,budget_nums,daegu_mention,region_scope,purpose,history,basis,page,source,volume
71,중소벤처기업부,,규제자유특구실증기반조성 (R&D),3339-310,지역균형발전,,,,(R&D),지역 중소기업 대학 연구소 등,- 계속 ‘20~,,10261,16426,"19,178 9,039 4,961 10,261 16,426","4,961|10,261|10,261|16,426|16,426|6,165|60|4,961",Y,전국,,"사업 시작년도 추진배경 부처별 중점과제 대통령 공약사항 등 - , , , <규제자유특구실증기반조성 (R&D)> 「규제자유특구 및 지역특화발전특구에 관한 규제특례법」개정안 국회 의결 월 - (‘18.9 , 규제자유특구를 도입 근거를 마련 ) -지역특구법 개정안 공포 월 (‘18.10 ) -지역특구법 개정안 및 하위법령 시행 월 (‘19.4 ) 차 규제자유특구 개 지정 월 - 1 7 * (‘19.7 ) * 부산(블록체인), 대구(스마트웰니스), 세종(자율주행), 강원(디지털헬스케어), 충북(스마트안전제어), 경북(차세대배터리리사이클), 전남(e-모빌리티) - 2 차 규제자유특구 개 지정7 * (‘19.11 월 ) * 경남(무인선박), 광주(무인저속특장차), 울산(수소그린모빌리티), 전남(에너지신산업), 전북(친환경 자동차), 제주(전기차충전서비스), 대전(바이오메디컬) - 3 차 규제자유특구 개 지정9 * (‘20.7 월 ) * 강원(액화수소산업), 경북(산업용Hemp), 대구(이동식협",,616,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
72,중소벤처기업부,,창업인프라지원,5153-301,지역균형발전,,,,한국창업보육협회,창업보육센터 입주기업 예비창업자 및 창업기업,년 ～ 계속 ‘98,,7110,7110,"61,058 12,793 8,468 7,110 7,110","8,464|7,110|7,110|7,110|7,110|8,468|8,468|8,464",,,,"사업 시작년도 추진배경 부처별 중점과제 대통령 공약사항 등 - , , , 월 일자리 창출과 실업대책 강화방안에서 창업보육센터를 확대 설치하여 고용 - ’99.3 창출을 확대키로 결정 월 창업보육사업 효율성 제고방안 경제정책조정회의 에서 각 부처의 중복 - ’05.7 “ ”( ) 창업보육사업을 중기청으로 일원화 월 중소기업성공전략회의 기술창업활성화대책을 통해 창업보육센터 대형화․ - ’08.6 “ ” 특성화 및 지원확대 결정 월 농공상 융합형 중소기업 육성전략 비상경제대책회의 를 통해 농공상융합 - ’10.7 “ ”( ) 기업 창업촉진센터 설치․지원 결정 월 벤처창업자금생태계 선순환 방안 을 통해 우수 와 가 공동으로 창업 - ’13.5 “ ” BI VC 공간과 투자를 연계한 투자연계형 창업보육센터 구축을 결정",,626,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
73,중소벤처기업부,,지역특화산업육성 제주 ( ),3336-302,지역균형발전,,,,지역혁신정책과,지역 중소기업,년 계속 ‘13 ~,,5013,4613,"5,013 5,013 5,013 5,013 4,613","5,013|5,013|5,013|4,613|4,613|400|8|5,013",,전국,,"- ‘17.10 : 지역 자율적 산업 구조조정을 통해 개 시·도 주력산업을 개에서 개로 14 63 48 조정하고 융·복합산업 비중확대 년 제 차 지역경제위원회 , (’17 1 ) - ‘18.02 : 국가균형발전 비전과 전략 「지역산업 대 혁신」에 주력산업기반 지역스타 3 기업 육성 지원 추진 - ‘20.11 : 비수도권 지역주력산업을 개편하고 지역을 대표하는 혁신 선도기업 육성 , 비전 제시 ｢지역혁신 중소기업 육성전략｣ ( ) - ‘21.01 : 한국판 뉴딜 정책에 부합토록 개 비수도권 지역별 주력산업을 디지털 14 뉴딜 그린 뉴딜 관련으로 개편하여 고부가가치 추진 중기부 지역혁신 , ( , 중소기업 육성전략 ) - `22.01 : 지역중소기업육성 및 혁신촉진 등에 관한 법률 시행에 따라 지역 (`22.1.28.) 혁신 선도기업 육성계획 수립 및 기업 선정·지원 - `23.02 : “ 지역주력산업 개편 및 육성방향 비상경제장관회의 지역중소기업 ”(’23.2, ), “ 혁신성장 촉진",,634,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
74,중소벤처기업부,,전통시장 주차환경 개선사업 제주 ( ),4154-301,지역균형발전,,,,지방자치단체,전통시장 및 상점가 골목형상점가 상권활성화구역,소진기금으로 편성 계속,,2580,2280,"39,744 840 2,880 2,580 2,280","2,880|2,580|2,580|2,547|2,280|300|11|2,880",,지역지정,,"- 재래시장 활성화대책 수립지시 대통령( 국무회의시 , '00.2.8 ) - 「중소기업의구조개선과재래시장활성화를위한특별조치법」제정 ('02.1.26) 년 산자부 대통령 업무보고시 재래시장환경개선 및 경영합리화 지원노력 강화 지시 - '04 "" "" ('04.2.2) 재래시장 혁신대책 대통령보고 시 재래시장 환경개선지원 확대 및 경영혁신 촉진 지시 - "" "" ('04.3.5) - 재래시장육성을위한특별법 제정 ('04.10.22) - 재래시장 및 상점가 육성을 위한 특별법 전부개정 및 시행 ('06.4.28) ('06.10.29) - 재래시장 활성화 종합계획 수립 ('06.5.2) - 재래시장 정책 보완과제 검토 지시 대통령 ( 수석보좌관회의 , ‘07.3.12 ) - 재래시장 정책성과 및 보완과제 보고 대통령 주재 ( , ‘07.6.27) - “재래시장 활성화와 영세상인 보호 국정과제 선정 ” (‘08.3) - 전통시장 및 상점가 육성을 위한 특별법 개정 (‘13.1) - 지역발전 특별",,642,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
75,중소벤처기업부,,상권활성화 사업 제주 ( ),4154-305,지역균형발전,,,,지자체,상권활성화구역 및 자율상권구역 내 소상공인 등,- ’25~,,970,2000,"- - - 970 2,000","970|970|2,000|2,000|1,030|106|970|970",,지역지정,,,,649,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
76,중소벤처기업부,,창업인프라지원 제주 ( ),5151-301,지역균형발전,,,,한국창업보육협회,창업보육센터 입주기업,년 ～ 계속 ’07,,100,100,887 137 137 100 100,"1,675|1,725|1,725|1,777|1,774|49|2|1,675",,지역지정,,월 일자리 창출과 실업대책 강화방안에서 창업보육센터를 확대 설치하여 고용 - ’99.3 창출을 확대키로 결정 월 창업보육사업 효율성 제고방안 경제정책조정회의 에서 각 부처의 중복 - ’05.7 “ ”( ) 창업보육사업을 중기청으로 일원화 월 중소기업성공전략회의 기술창업활성화대책을 통해 창업보육센터 대형화․ - ’08.6 “ ” 특성화 및 지원확대 결정 월 농공상 융합형 중소기업 육성전략 비상경제대책회의 를 통해 농공상융합 - ’10.7 “ ”( ) 기업 창업촉진센터 설치․지원 결정 월 벤처창업자금생태계 선순환 방안 을 통해 우수 와 가 공동으로 창업 - ’13.5 “ ” BI VC 공간과 투자를 연계한 투자연계형 창업보육센터 구축을 결정 년 월 예산국회에서 제주 산업혁신센터건립을 위한 건립비 반영 - ’20 .11,,654,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
77,중소벤처기업부,,지역특화산업육성 세종 ( ),3336-302,지역균형발전,,,,지역혁신정책과,지역 중소기업,년 계속 ‘13 ~,,2796,2596,"2,962 2,796 2,796 2,796 2,596","2,796|2,796|2,796|2,596|2,596|200|7|2,796",,전국,,"- ‘17.10 : 지역 자율적 산업 구조조정을 통해 개 시·도 주력산업을 개에서 개로 14 63 48 조정하고 융·복합산업 비중확대 년 제 차 지역경제위원회 , (’17 1 ) - ‘18.02 : 국가균형발전 비전과 전략 「지역산업 대 혁신」에 주력산업기반 지역스타 3 기업 육성 지원 추진 - ‘20.11 : 비수도권 지역주력산업을 개편하고 지역을 대표하는 혁신 선도기업 육성 , 비전 제시 ｢지역혁신 중소기업 육성전략｣ ( ) - ‘21.01 : 한국판 뉴딜 정책에 부합토록 개 비수도권 지역별 주력산업을 디지털 14 뉴딜 그린 뉴딜 관련으로 개편하여 고부가가치 추진 중기부 지역혁신 , ( , 중소기업 육성전략 ) - `22.01 : 지역중소기업육성 및 혁신촉진 등에 관한 법률 시행에 따라 지역 (`22.1.28.) 혁신 선도기업 육성계획 수립 및 기업 선정·지원 - `23.02 : “ 지역주력산업 개편 및 육성방향 비상경제장관회의 지역중소기업 ”(’23.2, ), “ 혁신성장 촉진",,664,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
78,중소벤처기업부,,창업인프라지원 세종 ( ),5154-301,지역균형발전,,,,한국창업보육협회,창업보육센터 입주기업,년 ～ 계속,,50,50,69 69 62 50 50,62|50|50|50|50|62|62|62,,지역지정,,월 일자리 창출과 실업대책 강화방안에서 창업보육센터를 확대 설치하여 고용 - ’99.3 창출을 확대키로 결정 월 창업보육사업 효율성 제고방안 경제정책조정회의 에서 각 부처의 중복 - ’05.7 “ ”( ) 창업보육사업을 중기청으로 일원화 월 중소기업성공전략회의 기술창업활성화대책을 통해 창업보육센터 대형화․ - ’08.6 “ ” 특성화 및 지원확대 결정 월 벤처창업자금생태계 선순환 방안 을 통해 우수 와 가 공동으로 창업 - ’13.5 “ ” BI VC 공간과 투자를 연계한 투자연계형 창업보육센터 구축을 결정,,672,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),예산
79,중소벤처기업부,,정책자금지원성과향상,1253-301,,,,,중소벤처기업진흥공단,중소기업 정책자금 신청기업 및 지원기업,년 계속 ‘06 ~,,,,5,,,전국,,"사업 시작년도 추진배경 부처별 중점과제 대통령 공약사항 등 - , , , ㅇ 기업진단 중진공 정책자금맞춤연계지원사업 추진 - `06. 1 : ‘ ’ 총 개의 모듈로 구성된 종합진단 표준모델 개발 - `06. 8 : 13 진단대상을 세분화 정책자금의 사전·사후진단 강화 - `07. 1 : , 종합진단 전산 시스템 구축 - `08. 4 : 및 업그레이드 DB (`07. 4) 정책자금지원성과향상사업 으로 사업명칭 변경 - `09. 1 : ‘ ’ 중소벤처기업부 소관 중소기업 정책자금 융자계획 공고 - `10. 1 : ‘ ’ * 융자대상 결정시 기술성, 사업성, 미래성장성 등을 종합진단·평가 - `10. 12 : 종합진단 모델 고도화 추진 * 기업유형별 모델 세분화 및 전산 프레임웍 개편 특허담보대출 실시를 위한 기술가치평가모듈 개발 - `12. 11 : 표준진단 모델 개발․운용 및 표준솔루션 확대 - `16. 12 : DB 공모형 종합진단 시범 실시 - `17. 1 : 기업진단 시스템 전면",,38,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),기금
80,중소벤처기업부,,신성장기반자금 융자 ( ),1261-301,,,,,) 중소벤처기업진흥공단,중소기업,년 계속 `79 ~,,,,5,,,전국,,"- 1979 일본 구조고도화사업을 도입하여 국내 실정에 맞게 협동화사업 시작 - 1993. 5 신경제 일 계획 에 의거 중소기업 구조개선사업 추진 ‘ 100 ‘ - 2005. 7 중소기업 정책자금 개편방안 대책 (6.23 ) - 2007. 1 구조개선자금과 협동화자금을 경영혁신자금 및 기업간협력자금으로 개편 - 2008. 5 중소기업 지원체계 효율화 국정과제 의 일환으로 년부터 경영혁신자금 ( ) ‘09 및 기업간협력자금 산업기반자금을 신성장기반지원으로 통합 , - 2010. 1 농공단지입주기업지원자금을 신성장기반지원으로 통합 - 2014. 1 기술사업성우수기업전용자금 신규 지원 - 2017. 1 융복합사업을 신성장유망자금에 통합 운영 기초제조기업성장자금 폐지 , - 2018. 1 제조현장스마트화자금 신설 - 2019. 1 기술사업성우수기업전용자금 폐지 - 2021. 1 유망기업 자금 신설 Net-Zero - 2023. 1 신성장기반지원자금 내 스케일업자금 이관 및 이차보전 사업 방",,49,국가AI전략위 AI 예산사업 통합 설명자료(2026.3),기금
