name,sector,source,as_of
(주) 아이스타,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 아이엠이에스,전자부품 컴퓨터 영상 음향 및 통신장비 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 아이월드컴퍼니,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 애니씨,의료 정밀 광학기기 및 시계 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 에너피아,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 에스씨컴퍼니,의복 의복 액세서리 및 모피제품 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 에스아이디,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 에이이에스,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 에이치앤에스웨어,출판 영상 방송통신 및 정보서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 엔 에스 엠,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 엔피엔지,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 여미지건축,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 연두,식료품 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 연우과학,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 영신방재엔지니어링,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 영진텍,제조업|도매 및 소매업|금속 가공제품 제조업; 기계 및 가구 제외,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 예성디자인,그 밖의 제품 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 예인프린텍,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 우진비철,도매 및 소매업|금속 가공제품 제조업; 기계 및 가구 제외,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 원 종합관리,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 위캔두,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 유나인더스,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 유니온바이오테크,고무 및 플라스틱제품 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 유원에너지,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 제이비라이프,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 주삼영,전기장비 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 진성 티에스,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 진승관광,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 진우,도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 진진에듀컨설팅,교육 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 청소하는 마을,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 청솔나무병원,농업 임업 및 어업|도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주) 칸 여행사,그 밖의 모든 업종,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
