대구시 세부사업,대구시 2026(천원),산업부 사업,코드,산업부 2026(백만원),유사도
SDV 전장부품 보안평가센터 구축,"2,200,000",SDV 전장부품 보안평가센터 구축,3551-468,4250,1.0
글로벌 강소기업 경쟁력 강화사업,"200,000",중소조선 함정MRO 글로벌 경쟁력 강화지원,3171-469,4985,0.5
