id,name,complex,district,eupmyeon,sector_code,sector,sector_group,product,workers_band,workers,reg_type,first_registered,mfg_area_band,address,sites,source,as_of,founded,tags
x3744,(주)한국비티비 대구지점,산단 외,북구,,,기타 화학 물질 및 화학제품 도매업,화학·에너지,,1~9명,6,,,,대구광역시 북구 동천로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3745,주식회사 은성테크,산단 외,북구,,,그 외 기타 전자 부품 제조업,전기·전자,,10~49명,20,,,,대구광역시 북구 노원로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3746,주식회사 프레임,산단 외,수성구,,,안경 및 안경렌즈 제조업,의료·바이오,,1~9명,3,,,,대구광역시 수성구 만촌로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3747,주식회사 그램퍼스,산단 외,달서구,,,통신ㆍ방송장비 및 부품 도매업,기계·금속,,1~9명,3,,,,대구광역시 달서구 두류공원로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3748,우경전장,산단 외,달서구,,,그 외 자동차용 신품 부품 제조업,자동차·부품,,10~49명,30,,,,대구광역시 달서구 성서서로47길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3749,대동금속기계(주),산단 외,달성군,,,시계 및 시계 부품 제조업,기타 제조,,1~9명,5,,,,대구광역시 달성군 화원읍 성화로10길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3750,(주)소맥베이커리,산단 외,동구,,,빵류 제조업,식품,,10~49명,16,,,,대구광역시 동구 동부로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3751,주식회사제이엠케이인터내셔널,산단 외,달서구,,,섬유제품 기타 정리 및 마무리 가공업,섬유·패션,,1~9명,5,,,,대구광역시 달서구 성서로35길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3752,주식회사 무쏘체인 대구지점,산단 외,북구,,,그 외 기타 기계 및 장비 도매업,기계·금속,,1~9명,4,,,,대구광역시 북구 검단공단로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3753,주식회사더존헬스케어,산단 외,중구,,,의료용 기구 소매업,의료·바이오,,1~9명,7,,,,대구광역시 중구 달구벌대로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3754,주식회사 디르,산단 외,달서구,,,화장품 제조업,화학·에너지,,1~9명,3,,,,대구광역시 달서구 중흥로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3755,주식회사에스에이치,산단 외,달성군,,,공기 조화장치 제조업,기타 제조,,1~9명,4,,,,대구광역시 달성군 다사읍 세천로21길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3756,주식회사 아진상사,산단 외,서구,,,자동차용 전용 신품 부품 판매업,자동차·부품,,1~9명,7,,,,대구광역시 서구 북비산로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3757,주식회사 차가네,산단 외,달서구,,,한식 육류 요리 전문점,식품,,1~9명,3,,,,대구광역시 달서구 장기로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3758,(주)한라석유 논공(대구)휴게소,산단 외,달성군,,,간이 음식 포장 판매 전문점,기타 제조,,10~49명,10,,,,대구광역시 달성군 논공읍 광주대구고속도로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3759,(주)현대기업,산단 외,수성구,,,그 외 기타 플라스틱 제품 제조업,화학·에너지,,1~9명,7,,,,대구광역시 수성구 희망로36길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3760,주식회사 건양기업,산단 외,북구,,,1차 금속제품 도매업,기계·금속,,1~9명,3,,,,대구광역시 북구 노원로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3761,주식회사 남원이엔지,산단 외,북구,,,산업용 로봇 제조업,로봇,,1~9명,5,,,,대구광역시 북구 노원로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3762,(주)지원기업,산단 외,달성군,,,그 외 자동차용 신품 부품 제조업,자동차·부품,,1~9명,3,,,,대구광역시 달성군 구지면 국가산단대로70길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3763,주식회사 우리메디텍,산단 외,달서구,,,의료용품 도매업,의료·바이오,,1~9명,4,,,,대구광역시 달서구 죽전1길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3764,주식회사 블루팩토리,산단 외,달성군,,,포장용 플라스틱 성형용기 제조업,화학·에너지,,1~9명,4,,,,대구광역시 달성군 구지면 국가산단대로40길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3765,주식회사세차로,산단 외,중구,,,자동차 세차업,자동차·부품,,1~9명,3,,,,대구광역시 중구 남산로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3766,주식회사엠므,산단 외,수성구,,,응용 소프트웨어 개발 및 공급업,소프트웨어·IT,,1~9명,3,,,,대구광역시 수성구 알파시티1로31길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
