no,ministry,bureau,name,code,account,new_or_continue,support_type,subsidy_rate,executor,beneficiary,period,total_cost,budget_2025,budget_2026,cost_5y,budget_nums,daegu_mention,region_scope,purpose,history,basis,page,source
11,경찰청,미래치안정책국,사이버범죄수사단서통합분석및추론시스템개발(R&D),,일반회계,,,,과학치안진흥센터 / 경찰청(공통),"국민, 현장 경찰관, 대학, 출연연, 기업 등",’25~’28 / 사업비 249.6억(국고 249.6억),,3640,6136,"- - - 3,640 6,136","3,640|6,136|6,136|2,496|68|25|3,640|3,640",,전국,,"- ’23. 8. : 다부처 공동 기획 연구(사회문제해결 분야) 참여 협의 및 사전기획 착수(경찰청, 과기정통부) - ’24. 2. : 다부처 공동기획위원회 주관(사회문제해결 분야), 신규사업으로 최종 선정 - ’24. 8. : 정부안 편성 - ’25. 3. : ’25 년 신규과제 선정평가 - ’25. 4. : ’25 년도 신규과제 착수",,103,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
12,경찰청,미래치안정책국,사이버수사 지원기술 개발(R&D),,일반회계,,,,과학치안진흥센터 / 경찰청(공통),"국민, 현장 경찰관, 대학, 출연연, 기업 등",(당초) ’23~’26 ( ) ’23~’29 / 신규 내역사업 편성에 따른 연장,,5304,8736,"- 1,872 1,897 5,304 8,736","1,897|5,304|8,736|8,736|3,432|64|25|1,897",,전국,,"- (2021년) 경찰청 全 국관･시도청 대상 기술수요조사 실시 아동･청소년의 성보호에 관한 , 법률 개정에 따른 기술 개발 수요 확인 후 사업 기획 실시 - (2022년) 신규사업 편성 확정 - (2023년) 신규 내역사업 주관연구기관 선정 및 협약 체결 ① 디지털성범죄 대응 위장수사 지원용 가상인물 생성 및 관리기술 개발 - (2024년) 신규 내역사업 정부안 편성 ① 허위조작 콘텐츠 진위여부 판별 시스템 개발 - (2025년) 신규 내역사업 정부안 편성 ① 로컬환경 인공지능 모델 대상 포렌식 기술개발",,109,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
13,경찰청,미래치안정책국,차세대지능형순찰플랫폼개발(R&D),,일반회계,,,,과학치안진흥센터 / 경찰청(공통),"국민, 현장 경찰관, 대학, 출연연, 기업 등",’25~’29 / 사업비 133.97억(국고 133.97억),,692,3465,"- - - 692 3,465","692|3,465|3,465|2,773|400|25|692|692",,전국,,"- ’23. 8. : 다부처 공동 기획 연구(사회문제해결 분야) 참여 협의 및 사전기획 착수(경찰청, 산업부) - ’24. 2. : 다부처 공동기획위원회 주관 최종평가 단계에서 미선정(사회문제해결 분야 위 / 2위까지 선정), 이에 따른 산업부 불참 의사로 경찰청 단독으로 사업을 추진하기로 3 하고 사업 재기획 - ’24. 8. : 정부안 편성 - ’25. 4. : 신규과제 선정 공고 - ’25. 7. : 협약 및 착수보고회",,117,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
14,경찰청,미래치안정책국,치안데이터활용기술개발(R&D),,일반회계,,,,과학치안진흥센터,"국민, 현장 경찰관, 대학, 출연연, 기업 등",’26~’29 / 사업비 168.38억(국고 156억 + 민간 12.38억),,0,1560,"- - - - 1,560","3,120|1,560|1,560|25|1,560|1,500|60|125",,전국,,- 경찰청 全 국관･산학연 대상 기술수요조사 실시 (’24. 3. ~ ’24. 4.) - 치안 비정형 데이터 암호화 컴퓨팅 기술 개발사업 기획연구(’24.7. ~ ’25.3.) - 25~’29 중기사업계획(’25.1.) - 126 -,,124,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
15,경찰청,형사국,형사·교통여성·청소년범죄수사역량강화,,일반회계,,,,경찰청,국민(사회적 약자 등),계속,,19660,19620,"24,230 26,191 24,120 19,660 19,620","24,120|19,660|19,660|21,570|19,620|40|0|24,120",,전국,,"- ’21. 5. 110대국정과제 ‘69. 국민이 안심하는 생활안전 확보’ - ’21. 1. 국가수사본부 형사국 신설로, 기존 수사국(형사)･생안국(여청수사)･외사국(국제수사)･ 교통국(교통조사) 인력 이관 - ’24. 2. 형사국으로 기존 수사국(피싱) 인력 이관, 공조수사계 신설 - ▵사회적 약자 대상 현장 수사활동 지원 ▵적법절차 준수 및 인권보호를 위한 수사장비 도입 ▵수사제도 개선 등 추진으로 형사･교통･여성청소년범죄 수사역량 강화 및 치안서비스･국민 체감 안전도 제고 - 133 -",,131,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
16,고용노동부,,고용노동행정(정보화),7034-500,일반회계,,,,고용노동부,"국민, 고용노동부 직원",1985년 ∼계속,,21701,23739,"28,926 24,869 22,139 21,701 23,739","22,378|21,701|23,739|23,739|2,038|9|141",,전국,,"- 사업 시작년도, 추진배경, 부처별 중점과제, 대통령 공약사항 등 연도 추진 내용 고용보험․취업알선 등 정보시스템 구축, 고용보험 정보통신망 및 노동부 행정정보통신망 ‘86.~’00. 통합 전자문서 및 전자민원시스템 구축, 노동부 및 산하단체 정보통신망 통합, 노동부 및 산하단체 ‘01.~’10. 지식관리센터(KMC), 인터넷방송시스템, PKMS시스템 구축, 전자민원시스템 개선사업 추진, 산하단체 정보화수준 평가, 사업장정보관리시스템 및 노동부 홈페이지 개편 등 추진 「고용노동 사이버안전센터」를 개소하고, 감사정보관리, 모바일 다우리, 개인정보 접속이력 관리 시스템 구축, 고용부 전 기관 인터넷 전화기 보급 ‘11.~’20. ‧ 노사누리 형사사법공통시스템(KICS) 연계 및 산업안전보건법 전부개정 사항 반영, 고용노동관련 민원 웹사이트 ONE-ID 서비스 실시, 네트워크 이중화를 통한 서비스 안정성 제고, 과태료관리 시스템· 노사마루 이행강제금 기능 연계 및 납부대상자 과태료 조회",,141,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
17,고용노동부,직업능력정책국,내일배움카드(고보),1151-352,,,,,고용노동부(지방고용노동관서),"15세 이상의 실업자, 영세자영업자, 특수형태근로종사자 등",‘97년~계속,,603198,508979,"798,296 887,312 734,204 603,198 508,979",,,,,"<일반직종 훈련> - ‘98년 ‧ 실업자의 (재)취업을 촉진하고자 취 창업훈련 및 고학력 미취업자 대상 취업 유명분야 훈련 실시 - ’08.9월 공급자 중심의 기존 직업훈련체계를 수요자 중심으로 전환하고자 직업능력 개발계좌제 도입 - ‘11년 계좌제 훈련 전면 실시(물량배정방식 실업자훈련 폐지) - ’15년 ‧ 직업능력개발계좌제와 국가기간 전략산업직종훈련 운영방식 통합 - ‘20년 ‧ 실업자 근로자 내일배움카드 제도를 국민내일배움카드로 통합 <국가기간 ‧전략산업직종훈련 > - ’84년 신체장애자, 생활보호대상자 및 비진학 청소년 등 취약계층 대상 직업훈련 실시 - ‘97년 실업대책 및 인력부족직종 양성 사업의 일환으로 전환 - ’11년 민간우선선정직종훈련과 대한상의우선선정직종훈련 통합 및 명칭 변경 ( →국가기간‧전략산업직종훈련 ) - ‘15년 직업능력계좌제와 운영방식 및 실시규정 등 통합 <산업구조변화대응 등 특화훈련> - ’22년 ‧ 종사자 및 산업계 등의 산업환경 변화 등에 따",,152,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
18,고용노동부,직업능력정책국,내일배움카드(일반),1131-300,일반회계,,,,고용노동부(지방고용노동관서),국민내일배움카드를 발급받은 모든 국민,‘98년 ～ 계속,,580161,627325,"426,290 518,815 584,906 580,161 627,325","577,838|580,161|596,161|627,325|627,325|47,164|8",,전국,,"ㅇ ‘98년 실업자의 (재)취업을 촉진하고자 취․창업훈련 및 고학력 미취업자 대상 취업유망분야 훈련 실시 ㅇ ‘08.9월 공급자 중심의 기존 직업훈련체계를 수요자 중심으로 전환하고자 직업 능력개발계좌제 도입 물량배정방식 실업자훈련 직업능력개발계좌제 ••공급자 정부 훈련기관 중심 ••수요자 실업자 기업 중심 ⇨ ( , ) ( , ) •배정물량에 따라 훈련기관에서 훈련생 고용센터 훈련상담 미실시 •훈련필요성이 인정되어 계좌를 발급받은 실업자 고용센터 훈련상담 실시 모집․실시 스스로 적합훈련과정 선택․수강 ㅇ ’11년 계좌제 훈련 전면 실시(물량배정방식 실업자훈련 폐지) ㅇ ’15년 직업능력개발계좌제와 국가기간 전략산업직종훈련 운영방식 통합 ･ ㅇ ‘20년 국민내일배움카드 도입 → 실업자등능력개발지원 일반회계 전직실업자 ( ), 등능력개발지원 고보기금 근로자능력개발지원 고보기금 사업 간 통‧폐합 ( ), ( ) ㅇ ’21년 디지털 핵심 실무인재 양성훈련 본사업 시행 ㅇ ’22년 「K-디지",,161,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
19,고용노동부,,노동위원회정보화운영(정보화),7039-502,일반회계,,,,중앙노동위원회,"근로자, 노동조합 및 사업주, 노동위원회 위원 및 조사관",’02년~계속,해당없음,7276,2959,"1,965 1,453 1,187 7,276 2,959","1,456|7,276|7,276|5,626|2,959|4,317|59|171",,,,"- 노사마루시스템 등 구축(‘02년) - 노사마루시스템 재구축(‘05년) ▪기존 조정․심판DB시스템을 개편하여 전산시스템을 통해 조정․심판사건을 처리하고 통계를 작성할 수 있 도록 시스템 재구축 - 전자심판위원회 시스템 등 구축(‘06년) ▪부의 안을 전자화하여 전자심판위원회 운영, 지방노동위원회 홈페이지 개발 - 노사마루시스템 추가업무 개발(‘07년) ▪차별시정, 이행강제금 및 금전보상제, 조정전 지원 등 신규업무 처리프로그램 개발 ▪노동판례 및 판정․판결DB구축을 통한 정보검색기능 제공 - 172 - - 디지털회의녹음 및 전자사건철관리시스템 구축(‘08년) ▪조정․심판 회의내용을 전자적으로 기록․관리할 수 있는 디지털회의녹음시스템 구축 - 복수노조업무 전산처리 프로그램 개발(‘11년) - 정보시스템 보강 및 보안솔루션 도입(‘12년) ▪노후 서버 교체 및 개인정보보호 강화를 위한 암호화솔루션 도입 등 보안강화 - 검색서버 이전 구축 및 조직도 연계체계 등 기능 개선(‘13년) ▪","□ 노동위원회정보화운영 : 7,276백만원(‘25년) → 2,959백만원(‘26년) ① ･ 정보시스템 운영 유지보수 등: 539백만원(’25년) → 665백만원('26년) - (일반수용비) 15백만원(’25년) → 15백만원('26년) - (공공요금 및 제세) 9백만원(’25년) → 백만원 년 4 ('26 ) - (시설장비유지비) 470백만원(’25 년→ 백만원 ) 년 646 ('26 ) - (임차료) 50백만원(‘25년) → 순감 ② 원격영상심문회의시스템구축: 506백만원(’25년) → 506백만원('26년) - (자산취득비) 506백만원(’25년) → 506백만원('26년) ③ 디지털노동위원회 구축: 6,231백만원(’25년, 1차) → 1,788백만원('26년, 2차) - (일반연구비) 4,279백만원(’25년, 1차) → 1,182백만원('26년, 2차) - (자산취득비) 1,952백만원(’25 년 차→ , 1 ) 606백만원('26년, 2차)",171,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
20,고용노동부,고용지원정책관,디지털 기반의 고용서비스 인프라 지원(정보화),1075-303,일반회계,,,,한국고용정보원,"구직자, 청소년, 실업자, 구인업체, 진로지도담당자 등 전국민",`21 ~ 계속,,6047,7523,"18,942 5,218 5,714 6,047 7,523","5,714|6,047|6,047|7,523|7,523|1,476|24",,전국,,- (공공취업지원서비스 확충) 고용정보시스템의 통합정보 플랫폼을 통해 수요자 맞춤형 서비스 제공 - (한국판 뉴딜) 개인에 맞춤형 고용서비스를 추천·제공할 수 있도록 개인정보(경력· 훈련·자격 등)를 통합·디지털화 - (2021년 하반기 경제정책방향) 기존 정보망으로 분산 제공되던 온라인 고용서비스를 통합·일원화한 ‘고용24’ 정보시스템 구축 추진 - (2021년) 고용통합서비스 제공을 위한 고용24 구축방안 수립 ISP 사업(’21.3.~11.) - (2022년) 차세대 디지털 고용서비스 플랫폼 고용24 구축사업 추진(’22.10.~’23.12.) - (2023년) 차세대 디지털 고용서비스 플랫폼 고용24(3단계) 표준API 구축사업 추진(`23.5.~`24.2.) - (2024년) 고용24 모바일 앱 서비스 개시(시범)(`24.5.) - 179 - - (2024년) 고용24 대민포털 정식서비스 개시(`24.9.) - (2025년) 행안부 Any-ID 로그인 연계(’25.6),"□ 디지털 기반의 고용서비스 인프라 지원 : (2025 예산) 6,047백만원 → (2026 예산) 7,523백만원, 1,476백만원 증액 ① 고용24 대민포털 운영 및 유지관리 : (2025 예산) 1,671백만원 → (2026 예산) 2,712백만원, 1,041백만원 증액 - (요구) ▪고용24 운영 * (고용24 대민포털 유지관리) 취업알선, 고용보험, 직업훈련, 고용허가, 국민취업 등 고용분야 민원신청·신고 통합 서비스 유지관리, 일자리·훈련·제도 검색, 정보제공 서비스 유지관리, 행정기관 및 공공기관 정보시스템 구축 운영 지침에 따른 ‘디지털 정부서비스 UI/UX 가이드라인(’24.2)’ 단계적 적용 ▪고용24 대민포털 고도화 및 서비스 확대 - 180 - * (상담 예약관리시스템) 사용자의 경험을 고려하여 편리하고 체계적인 고객상담 관리를 위한 온라인 상담예약 시스템 구축(민원인의 지속적인 요청 사항) - (산출) ▪ 고용24 대민포털 유지관리 : (‘25) 1,671 → (‘26) 2,276백만원(+605백만원) (1) 기 개발된 대민포털의 안정적 유지는 물론 다양한 고객의견을 서비스 운영에 반영 ① (필요성) 다수의 차세대 국가정보망 오픈 차질(NEIS(’23년, 교육부), 복지로(’22년, 복지부) 등)에도 불구하고 ‘24년 고용24 대민포털 조기 안착 성공, 서비스에 대한 품질과 사용의 편의성 지원 등 수요자 관점에서 지속적인 관리가 필요한 사항 → 고용24는 현재(’25.7월) 일평균 방문수 373%(‘24.3월 대비), 회원수 53.5%(‘24.3월 대비) 지속적 증가 추세, 민원인의 다",177,국가AI전략위 AI 예산사업 통합 설명자료(2026.3)
