자료생성년월,사업장명,사업자등록번호,사업장가입상태코드,사업장도로명상세주소,사업장지번상세주소,법정동주소광역시도코드,사업장업종코드,사업장업종코드명,적용일자,재등록일자,탈퇴일자,가입자수,신규취득자수,상실가입자수
2026-07,홀트종합사회복지관,502821,1,대구광역시 수성구 달구벌대로488길,대구광역시 수성구 범어동,27,930919,애완 동물 장묘 및 보호 서비스업,2003-08-01,,,68,0,2
2026-07,(주)대구화공,504814,1,대구광역시 북구 3공단로,대구광역시 북구 노원동3가,27,514990,그 외 기타 상품 전문 도매업,2003-07-01,,,3,0,0
2026-07,(주)알프스여행사,504813,1,대구광역시 수성구 동대구로,대구광역시 수성구 두산동,27,630600,여행사업,2003-07-01,,,5,0,0
2026-07,리더스치과의원(오호열),514901,1,대구광역시 달서구 월배로,대구광역시 달서구 상인동,27,851211,치과의원,2003-07-01,2012-10-01,,13,0,1
2026-07,(주)신원전력,401811,1,대구광역시 달서구 상원로,대구광역시 달서구 상인동,27,452104,배관 및 냉ㆍ난방 공사업,2003-07-01,,,3,0,0
2026-07,(합)수지전력,502811,1,대구광역시 북구 동북로65길,대구광역시 북구 복현동,27,000000,해당없음,2003-07-01,,,8,1,0
2026-07,(주)다빈메이저,502814,1,대구광역시 동구 팔공로53길,대구광역시 동구 봉무동,27,452102,유리 및 창호 공사업,2003-07-01,,,7,0,0
2026-07,대구개인택시조합새마을금고,502821,1,대구광역시 수성구 무학로,대구광역시 수성구 지산동,27,659201,국내은행,2003-08-01,,,4,0,0
2026-07,(주) 동광이엔씨,206818,1,대구광역시 동구 동촌로56길,대구광역시 동구 방촌동,27,322002,유선 통신장비 제조업,2003-08-04,,,4,0,0
2026-07,주식회사 다성이엔지,409812,1,대구광역시 달성군 다사읍 세천로9길,대구광역시 달성군 다사읍,27,452101,미장  타일 및 방수 공사업,2003-07-01,,,3,0,0
2026-07,코리아넷시스템(주),502816,1,대구광역시 수성구 알파시티2로,대구광역시 수성구 시지동,27,515060,통신ㆍ방송장비 및 부품 도매업,2003-07-01,,,4,0,0
2026-07,(주)창신정보통신,503816,1,대구광역시 달서구 성서로36길,대구광역시 달서구 월암동,27,515060,통신ㆍ방송장비 및 부품 도매업,2003-07-07,,,3,0,0
2026-07,삼정그린빌입주자대표회의,503826,1,대구광역시 달서구 야외음악당로39길,대구광역시 달서구 두류동,27,999999,BIZ_NO미존재사업장,2003-07-18,,,8,0,0
2026-07,대성글로벌네트웍(주),128818,1,대구광역시 중구 명덕로,대구광역시 중구 남산동,27,724000,데이터베이스 및 온라인 정보 제공업,2003-07-01,,,555,21,25
2026-07,선진건설(주),502817,1,대구광역시 수성구 지범로,대구광역시 수성구 두산동,27,452111,시설물 유지관리 공사업,2003-08-01,,,21,2,2
2026-07,정화테크,504308,1,대구광역시 달서구 성서로71길,대구광역시 달서구 갈산동,27,292202,금속 절삭기계 제조업,2003-08-01,,,12,0,0
2026-07,(주)맥테크,503816,1,대구광역시 달서구 성서서로47길,대구광역시 달서구 신당동,27,269901,암면 및 유사 제품 제조업,2003-08-01,,,27,0,1
2026-07,(주)세인실업,502817,1,대구광역시 수성구 알파시티1로42길,대구광역시 수성구 대흥동,27,515070,전기용 기계ㆍ장비 및 관련 기자재 도매업,2003-07-01,,,10,1,0
2026-07,이람건설 주식회사,225811,1,대구광역시 달서구 월배로23길,대구광역시 달서구 대천동,27,452119,콘크리트 및 철근 공사업,2003-07-01,,,6,0,1
2026-07,명문전기(주),514813,1,대구광역시 동구 율하동로24길,대구광역시 동구 신기동,27,452104,배관 및 냉ㆍ난방 공사업,2003-07-01,,,5,0,0
2026-07,김선경세무회계사무소,503155,1,대구광역시 북구 칠곡중앙대로,대구광역시 북구 태전동,27,741201,세무사업,2003-07-01,,,13,0,0
2026-07,대구신일교회,514820,1,,대구광역시 남구 봉덕동,27,999999,BIZ_NO미존재사업장,2003-07-01,2007-03-20,,4,0,0
2026-07,(주)신기원종합건설,503813,1,대구광역시 중구 국채보상로,대구광역시 중구 동인동4가,27,451101,아파트 건설업,2003-07-01,,,9,0,0
2026-07,현대중기(주),502810,1,대구광역시 동구 아양로,대구광역시 동구 효목동,27,630702,일반 / 용달 / 개별 화물 자동차 운송업,2003-07-01,,,3,0,0
2026-07,북대구신용협동조합,504820,1,대구광역시 북구 동천로23길,대구광역시 북구 동천동,27,659202,신용조합,2003-07-01,,,11,0,1
2026-07,(주)창흥개발,508811,1,대구광역시 동구 공항로49길,대구광역시 동구 입석동,27,452101,미장  타일 및 방수 공사업,2003-08-01,,,3,0,1
2026-07,대한민국고엽제전우회대구지부,502821,1,대구광역시 달서구 계대동문로,대구광역시 달서구 이곡동,27,513430,문구용품  회화용품  사무용품 도매업,2003-07-01,,,12,1,2
2026-07,(주)세일관광여행사,502813,1,대구광역시 수성구 지범로,대구광역시 수성구 지산동,27,630600,여행사업,2003-07-01,,,3,0,0
2026-07,혜민노인요양원,503820,1,대구광역시 서구 원대로13길,대구광역시 서구 원대동3가,27,000000,해당없음,2003-07-22,,,6,1,0
2026-07,(주)한도주택건설,503815,1,대구광역시 달성군 다사읍 달구벌대로,대구광역시 달성군 다사읍,27,451102,주거용 건물 건설업,2003-07-01,,,3,0,0
2026-07,경상북도 농업기술원,504830,1,대구광역시 북구 칠곡중앙대로136길,대구광역시 북구 동호동,27,999999,BIZ_NO미존재사업장,2003-07-01,,,122,14,8
2026-07,사랑모아마취통증의학과의원,503909,1,대구광역시 달서구 와룡로,대구광역시 달서구 죽전동,27,851219,일반의원,2003-07-01,,,27,1,2
2026-07,편한구강내과치과의원,504905,1,대구광역시 중구 명륜로23길,대구광역시 중구 봉산동,27,851211,치과의원,2003-07-01,,,10,0,0
2026-07,(주)태명건설,502812,1,대구광역시 중구 국채보상로,대구광역시 중구 동인동4가,27,452105,도배  실내 장식 및 내장 목공사업,2003-07-01,,,10,0,0
2026-07,주식회사 동위,416814,1,대구광역시 수성구 고모로39길,대구광역시 수성구 고모동,27,452104,배관 및 냉ㆍ난방 공사업,2003-08-04,,,19,0,1
2026-07,(주인타이어모터스,514814,1,대구광역시 서구 와룡로,대구광역시 서구 중리동,27,501201,자동차 신품 판매업,2003-07-01,,,12,0,0
2026-07,(주)유성에프티,514814,1,대구광역시 달서구 성서공단북로3길,대구광역시 달서구 파호동,27,343000,그 외 자동차용 신품 부품 제조업,2003-08-05,,,29,0,1
2026-07,(주)청우물류,508810,1,대구광역시 북구 신천동로,대구광역시 북구 대현동,27,602301,용달 화물 자동차 운송업,2003-08-01,,,5,1,0
2026-07,북구청/일자리경제과,504830,1,대구광역시 북구 옥산로,대구광역시 북구 침산동,27,701201,비주거용 건물 임대업(점포  자기땅),2003-07-01,,,6,0,6
2026-07,(주)굿모닝이엔씨,502817,1,대구광역시 동구 동부로,대구광역시 동구 신천동,27,451101,아파트 건설업,2003-08-01,,,716,41,27
2026-07,(주)드림넷코리아,502816,1,대구광역시 수성구 국채보상로,대구광역시 수성구 범어동,27,452104,배관 및 냉ㆍ난방 공사업,2003-08-25,,,4,0,1
2026-07,(주)명진기공,514812,1,대구광역시 달서구 호산로2길,대구광역시 달서구 호산동,27,331300,산업 처리공정 제어장비 제조업,2003-07-01,,,14,0,1
2026-07,강훈치과의원,503960,1,대구광역시 서구 팔달로,대구광역시 서구 원대동3가,27,851211,치과의원,2003-07-01,,,13,1,0
2026-07,다인조경(주),504813,1,대구광역시 달성군 논공읍 논공로5길,대구광역시 달성군 논공읍,27,452109,수중 공사업,2003-07-01,,,5,0,0
2026-07,주식회사현대보안공사,503816,1,대구광역시 북구 동북로,대구광역시 북구 산격동,27,749200,경비 및 경호 서비스업,2003-08-01,,,8,0,0
2026-07,부영e-그린타운 관리사무소,504826,1,대구광역시 북구 동천로24길,대구광역시 북구 동천동,27,999999,BIZ_NO미존재사업장,2003-07-25,,,5,0,0
