기업명,주소,선정연도,구분,지원기관,사업명,지원유형,금액,단위,출처,출처URL,기준일
영일엔지니어링(주),,2023,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
그루터키협동조합,,2023,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
와이제이링크(주),,2023,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
(주)세창,,2023,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
(주)휴먼앤테크,,2023,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
(주)한국하이테크,,2023,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
(주)디넷,,2023,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
(주)정진누리마루,,2023,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
(주)창성섬유,,2023,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
(주)신도,,2022,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
HK스틸,,2022,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
한빛,,2022,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
(주)휴먼엔테크,,2022,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
다우엔지니어링,,2022,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
(주)디넷,,2022,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
(주)티티엔지,,2022,국비,중소벤처기업진흥공단,스마트제조기업 일자리 패키지,선정,,,중소벤처기업진흥공단 스마트제조기업 일자리 패키지 참여기업(공공데이터포털),https://www.data.go.kr/data/15100252/fileData.do,2024-03
