기업명,주소,선정연도,구분,지원기관,사업명,지원유형,금액,단위,출처,출처URL,기준일
(주)한샘,,2018,국비,산업통상자원부,지능융합전자정보기기기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
에스티에스,,2018,국비,산업통상자원부,제조기반생산시스템,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
(주)맥스로텍,,2018,국비,산업통상자원부,제조혁신3D프린팅기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
한국자동차연구원,,2018,국비,산업통상자원부,그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
주식회사 스맥,,2018,국비,산업통상자원부,제조기반생산시스템,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
한국자동차연구원,,2018,국비,산업통상자원부,그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
(주)화신,,2018,국비,산업통상자원부,그린자동차부품실용화및실증연구,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
한국자동차연구원,,2018,국비,산업통상자원부,그린자동차부품실용화및실증연구,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
한국자동차연구원,,2018,국비,산업통상자원부,화학공정소재,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
경북대학교 산학협력단,,2018,국비,산업통상자원부,제조혁신3D프린팅기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
성림첨단산업(주),,2018,국비,산업통상자원부,소재부품이종기술융합형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
한국자동차연구원,,2018,국비,산업통상자원부,소재부품이종기술융합형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
(주)래딕스,,2018,국비,산업통상자원부,기반기술개발활성화,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
경북대학교 산학협력단,,2018,국비,산업통상자원부,화학공정소재,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
경북대학교 산학협력단,,2018,국비,산업통상자원부,바이오핵심기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
(주)유비텍,,2018,국비,산업통상자원부,인공지능융합로봇시스템기술,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
(주)케이엠,,2018,국비,산업통상자원부,섬유의류,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
(주)현성오토텍,,2018,국비,산업통상자원부,기반기술개발활성화,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
성지산업(주),,2018,국비,산업통상자원부,나노융합,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
주식회사 리텍,,2018,국비,산업통상자원부,첨단뿌리기술,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
대영채비(주),,2018,국비,산업통상자원부,글로벌디자인전문기업육성,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
경북대학교 산학협력단,,2018,국비,산업통상자원부,엔지니어링핵심기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
(주)맥테크,,2018,국비,산업통상자원부,소재부품이종기술융합형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
(주)우리기술,,2018,국비,산업통상자원부,유망바이오IP사업화촉진,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
한국자동차연구원,,2018,국비,산업통상자원부,소재부품이종기술융합형,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
인디자인,,2018,국비,산업통상자원부,글로벌디자인전문기업육성,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
대동공업(주),,2018,국비,산업통상자원부,제조기반생산시스템,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
한국디자인진흥원,,2018,국비,산업통상자원부,미래선행디자인기술개발,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
한국자동차연구원,,2018,국비,산업통상자원부,그린카,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
DESIGN COMM,,2018,국비,산업통상자원부,서비스디자인기반제조업신생태계구축,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
디자인 선,,2018,국비,산업통상자원부,서비스디자인기반제조업신생태계구축,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
디자인가,,2018,국비,산업통상자원부,서비스디자인기반제조업신생태계구축,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
상상146,,2018,국비,산업통상자원부,서비스디자인기반제조업신생태계구축,R&D,,,KEIT 산업기술 R&D 과제현황(공공데이터포털),https://www.data.go.kr/data/15018033/fileData.do,20260721
