기업명,주소,선정연도,구분,지원기관,사업명,지원유형,금액,단위,출처,출처URL,기준일
와이제이링크㈜,,2022,국비,중소기업기술정보진흥원,지역혁신 선도기업,선정,,,중소기업기술정보진흥원 지역혁신 선도기업 선정 현황(공공데이터포털),https://www.data.go.kr/data/15106072/fileData.do,20260319
채비㈜,,2022,국비,중소기업기술정보진흥원,지역혁신 선도기업,선정,,,중소기업기술정보진흥원 지역혁신 선도기업 선정 현황(공공데이터포털),https://www.data.go.kr/data/15106072/fileData.do,20260319
㈜)파인메딕스,,2022,국비,중소기업기술정보진흥원,지역혁신 선도기업,선정,,,중소기업기술정보진흥원 지역혁신 선도기업 선정 현황(공공데이터포털),https://www.data.go.kr/data/15106072/fileData.do,20260319
㈜삼우농기,,2022,국비,중소기업기술정보진흥원,지역혁신 선도기업,선정,,,중소기업기술정보진흥원 지역혁신 선도기업 선정 현황(공공데이터포털),https://www.data.go.kr/data/15106072/fileData.do,20260319
㈜씨엠에이글로벌,,2022,국비,중소기업기술정보진흥원,지역혁신 선도기업,선정,,,중소기업기술정보진흥원 지역혁신 선도기업 선정 현황(공공데이터포털),https://www.data.go.kr/data/15106072/fileData.do,20260319
㈜엔유씨전자,,2022,국비,중소기업기술정보진흥원,지역혁신 선도기업,선정,,,중소기업기술정보진흥원 지역혁신 선도기업 선정 현황(공공데이터포털),https://www.data.go.kr/data/15106072/fileData.do,20260319
