기업명,주소,선정연도,구분,지원기관,사업명,지원유형,금액,단위,출처,출처URL,기준일
주식회사 바이노텍,,2022,국비,중소기업기술정보진흥원,창업성장기술개발사업,선정,,,중소기업기술정보진흥원 기술개발 우수성과 50선(공공데이터포털),https://www.data.go.kr/data/15025589/fileData.do,20241231
(주)솔지,,2022,국비,중소기업기술정보진흥원,상용화기술개발사업,선정,,,중소기업기술정보진흥원 기술개발 우수성과 50선(공공데이터포털),https://www.data.go.kr/data/15025589/fileData.do,20241231
주식회사 브이에스팜텍,,2023,국비,중소기업기술정보진흥원,창업성장기술개발사업,선정,,,중소기업기술정보진흥원 기술개발 우수성과 50선(공공데이터포털),https://www.data.go.kr/data/15025589/fileData.do,20241231
㈜ 문창,,2024,국비,중소기업기술정보진흥원,중소기업 R&D기획역량제고사업,선정,,,중소기업기술정보진흥원 기술개발 우수성과 50선(공공데이터포털),https://www.data.go.kr/data/15025589/fileData.do,20241231
㈜ 에스티아이,,2024,국비,중소기업기술정보진흥원,중소기업기술혁신개발사업,선정,,,중소기업기술정보진흥원 기술개발 우수성과 50선(공공데이터포털),https://www.data.go.kr/data/15025589/fileData.do,20241231
