기업명,주소,선정연도,구분,지원기관,사업명,지원유형,금액,단위,출처,출처URL,기준일
(주)에스제이이노테크,,2022,국비,산업통상자원부(에너지기술평가원),신재생에너지핵심기술개발(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
(주)나인원,,2022,국비,산업통상자원부(에너지기술평가원),화력발전소 안전환경 구축 기술개발(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
(주)설텍,,2022,국비,산업통상자원부(에너지기술평가원),에너지인력양성(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
케이비아이메탈(주),,2022,국비,산업통상자원부(에너지기술평가원),신재생에너지핵심기술개발(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
와이엠레미 주식회사,,2022,국비,산업통상자원부(에너지기술평가원),에너지수요관리핵심기술개발(에특)(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
대성에너지(주),,2022,국비,산업통상자원부(에너지기술평가원),에너지인력양성(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
(주)신일이앤씨,,2022,국비,산업통상자원부(에너지기술평가원),에너지인력양성(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
(주)문명에이스,,2022,국비,산업통상자원부(에너지기술평가원),에너지인력양성(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
(주)아이디정보시스템,,2022,국비,산업통상자원부(에너지기술평가원),에너지인력양성(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
주식회사 멤브레어,,2022,국비,산업통상자원부(에너지기술평가원),에너지수요관리핵심기술개발(에특)(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
(주)모간,,2022,국비,산업통상자원부(에너지기술평가원),신재생에너지핵심기술개발(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
대영채비(주),,2022,국비,산업통상자원부(에너지기술평가원),에너지신기술표준화 및 인증지원사업(R&D),R&D,,,한국에너지기술평가원 지원과제정보(공공데이터포털),https://www.data.go.kr/data/15106650/fileData.do,2022
