기업명,주소,선정연도,구분,지원기관,사업명,지원유형,금액,단위,출처,출처URL,기준일
경북대학교산학협력단,,2020,국비,산업통상자원부,지역혁신클러스터육성(RnD) · 대구혁신도시 융합의료산업 혁신 생태계 조성,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
계명대학교 산학협력단,,2020,국비,산업통상자원부,시스템산업기술개발기반구축(RnD) · 의료기기 표준 플랫폼 기술개발 및 보급 활성화 지원,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
(주)엔도비전,,2020,국비,산업통상자원부,우수기술연구센터(ATC)(RnD) · 신속지혈/유착방지/조직재생 기능을 갖춘 다기능 생분해 마이크로구조체가 탑재된 자궁경부 수술 후 보호 장치 개,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
오대금속(주),,2020,국비,중소벤처기업부,지역특화산업육성+(RnD) · 한손 조절이 가능한 치과용 보조 암 시스템 개발,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
(주)엔도비전,,2020,국비,산업통상자원부,지역혁신클러스터육성(RnD) · 3D 영상 재구성과 생체 신호를 이용한 지능형 맞춤 수술 플래닝 및 술후 케어 솔루션 개발,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
(주)우리소프트,,2021,국비,산업통상자원부,신산업진출사업재편핵심기술개발(RnD) · 3종의 우울 장애 디지털 바이오 마커 개발과 스마트 폰 기반 인지 및 행동 활성화 기능이 통합된 우울 장애 ,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
(주)플라즈맵,,2021,국비,산업통상자원부,스케일업기술사업화프로그램(RnD) · 의료용 임플란트의 플라즈마 멸균 및 표면 재생 활성화 기술,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
(주)지엘,,2021,국비,과학기술정보통신부,연구개발특구육성(RnD) · 정신건강 증진을 위한 개인 맞춤형 정량 뇌파 연계 VR 기반 실감형 콘텐츠 기술개발,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
경북대학교산학협력단,,2022,국비,산업통상자원부,지역혁신클러스터육성(RnD) · 대구혁신도시 융합의료산업 혁신 생태계 조성,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
경북대학교 산학협력단,,2022,국비,산업통상자원부,스마트특성화기반구축(RnD) · 고기능 인체결합 의료기기 산업육성 플랫폼 구축사업,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
(주)월드트렌드,,2022,국비,산업통상자원부,디자인산업기술개발 · 활동적 장년의 청력 향상과 고혈압 부정맥의 위험관리 위한 스마트아이웨어 시스템 디자인 및 만성질환 모니터링 ,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
(주)인트인,,2022,국비,산업통상자원부,바이오산업기술개발 · 알레르기성 호흡기 질환 증상 모니터링  디바이스 및 복합 디지털 치료기기 플랫폼 개발,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
(주)우리소프트,,2022,국비,산업통상자원부,신산업진출사업재편핵심기술개발 · 3종의 우울 장애 디지털 바이오 마커 개발과 스마트 폰 기반 인지 및 행동 활성화 기능이 통합된 우울 장애 ,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
주식회사 디지트랙,,2022,국비,다부처,"범부처전주기의료기기연구개발(산업부,복지부,과기부) · 악교정 수술을 위한 인공지능 기반 수술 계획 및 증강현실 기반 수술 내비게이션 시스템 개발",R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
주식회사 플라즈맵,,2022,국비,산업통상자원부,스케일업기술사업화프로그램 · 의료용 임플란트의 플라즈마 멸균 및 표면 재생 활성화 기술,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
(주)제이에스테크윈,,2022,국비,중소벤처기업부,중소기업기술혁신개발 · 비침습적 종양 위치 검출을 위한 고밀도 폴리스틸렌 섬광센서를 이용한 1초 이하의 검출시간을 가지는 500 c,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
제이에스테크윈,,2022,국비,중소벤처기업부,해외인증규격적합제품기술개발(RnD) · 해외인증에 적합한 웨어러블 초소형 방사선 피폭측정기 기술개발,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
주식회사지엘,,2022,국비,과학기술정보통신부,연구개발특구육성 · 정신건강 증진을 위한 개인 맞춤형 정량 뇌파 연계 VR 기반 실감형 콘텐츠 기술을 활용한 시제품 개발,R&D,,,대구경북첨단의료산업진흥재단 연구과제 현황(공공데이터포털),https://www.data.go.kr/data/15159608/fileData.do,
