회사명,주소,업종,사업내용,종사자수,설립연도,태그,출처,기준월
㈜인피니트헬스케어,대구 동구 동내로 76,시스템 소프트웨어 개발 및 공급업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜메디팁,대구 동구 동내로 76,경영컨설팅업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜포위즈시스템,대구 동구 동내로 76,컴퓨터시스템 통합 자문 및 구축 서비스업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜메디제이,대구 동구 동내로 76,그외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
엘에스웨어㈜,대구 동구 동내로 76,시스템 소프트웨어 개발 및  공급업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜비에스케이바이오,대구 동구 동내로 76,"의료, 정밀 및 과학기기 도매업",,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜가온기술,대구 동구 동내로 76,컴퓨터 프로그래밍 서비스업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜퍼비스코리아,대구 동구 동내로 76,"안경, 사진장비 및 광학용품 도매업",,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜스파인닥터스,대구 동구 동내로 76,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜솔라라이트,대구 동구 동내로 76,기타 반도체 소자 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜나노레이,대구 동구 동내로 76,치과용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜레이델코리아,대구 동구 동내로 76,건강기능식품 도소매,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜코넥스트,대구 동구 동내로 76,기초 의약 물질 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
올패스바이오,대구 동구 동내로 76,천연물 연구개발,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜바스플렉스,대구 동구 동내로 76,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜픽셀런트,대구 동구 동내로 76,비디오 및 기타 영상기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜와이에이치라이프,대구 동구 동내로 76,의료용품 및 기타 의약관련제품 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜엘앤와이,대구 동구 동내로 76,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜인피닉스,대구 동구 동내로 76,정보서비스업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜코비바이오,대구 동구 동내로 76 510호,천연물연구개발업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜세븐밸리메디컬,대구 동구 동내로 66-21,의학 및 약학 연구개발업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜엔솔바이오사이언스,대구 동구 동내로 88,의약용 화합물 및 항생물질  제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜씨비에이치,대구 동구 동내로 88,그 외 기타 의료용 기기 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜오디스젠,대구 동구 동내로 88,의학 및 약학 연구개발업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜에이엔제이사이언스,대구 동구 첨복로 80,의학 및 약학 연구개발업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
킴스랩유한 책임회사,대구 동구 첨복로 80,의학 및 약학 연구개발업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜뉴다이브,대구 동구 동내로 88,응용소프트웨어개발  및 공급,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜나눔컴퍼니,대구 수성구 고모로 41길 5,의료용품 및 기타 의약관련제품 제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜프로토텍,대구광역시 동구 동내로 70,공작기계 도매업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜비트러스트메디텍,대구광역시 동구 동내로 70,연구 및 개발,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜캐니케티케어,대구 동구 첨복로 80,자연과학 연구개발업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
티큐브잇㈜,대구 동구 혁신대로 423-14,"물리, 화학 및 생물확 연구개발",,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜바이원,대구 동구 동내로 88,그 외 기타 의료용 기기  제조업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
㈜다온메디헬스,대구 동구 첨복로 79-16,연구개발업,,,,kmedi,대구경북첨단의료산업진흥재단 입주기업 현황(공공데이터포털),2026
